,BRAND,PRODUCT_NAME,PRICE,RETURN/EXCHANGE,EXPECTED_DELIVERY,AVAILABILITY,PRODUCT_LINK
122,Cort,"Cort AD810BKS Standard Dreadnought Guitar, Spruce Top, Mahogany Back & Sides, Black Satin","₹10,549.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Cort-AD810BKS-Standard-Dreadnought-Mahogany/dp/B00KQEXK2A/ref=sr_1_105?keywords=guitar&qid=1664042210&sr=8-105
123,Revel,"Revel Acoustic Guitar with Carry bag and Plectrums. Beginner and Learners standard size configuration (Blue),Full,RVL-38C-LGP-BLS","₹2,210.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Revel-RVL-38C-LGP-BLS-Linden-Acoustic-Guitar/dp/B085HWKDCY/ref=sr_1_106?keywords=guitar&qid=1664042210&sr=8-106
124,JUAREZ,"JUAREZ Arpeggio Guitar JRA41MAH-F, mahogany","₹5,064.96",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/JUAREZ-Arpeggio-Guitar-JRA41MAH-F-mahogany/dp/B08MWBP88T/ref=sr_1_107?keywords=guitar&qid=1664042210&sr=8-107
125,YAMAHA,"Yamaha PACIFICA012 Electric Guitar, Dark Blue Metallic","₹14,850.00",7 Days Replacement,"Sunday, 2 October",Only 1 left in stock.,https://www.amazon.in/Yamaha-PACIFICA012-Electric-Guitar-Metallic/dp/B00REF6CII/ref=sr_1_108?keywords=guitar&qid=1664042210&sr=8-108
126,JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38C with Bag, Strings, Pick and Strap, Red","₹2,516.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDW2/ref=sr_1_109?keywords=guitar&qid=1664042210&sr=8-109
127,Jackson,Jackson JS Series Dinky JS11 Electric Guitar (Metallic Red),"₹16,720.00",7 Days Replacement,"Thursday, 29 September",In stock.,https://www.amazon.in/Jackson-JS-Dinky-JS11-Electric/dp/B00SKJGZLG/ref=sr_1_110?keywords=guitar&qid=1664042210&sr=8-110
128,Kadence,"Kadence Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo (natural)","₹6,499.00",7 Days Replacement,"Thursday, 29 September",In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Equalizer-Strings/dp/B01HRIHH9E/ref=sr_1_111?keywords=guitar&qid=1664042210&sr=8-111
129,JUAREZ,"Juârez JRZ38C/WH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, White with Bag, Strings, Picks and Strap","₹2,997.00",7 Days Replacement,"Wednesday, 28 September",In stock.,https://www.amazon.in/Ju%C3%A2rez-JRZ38C-WH-Strings-Acoustic/dp/B072MFK4L6/ref=sr_1_112?keywords=guitar&qid=1664042210&sr=8-112
130,blueberry,"Blueberry B-D38, 38 Inch Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Sunburst)","₹2,516.00",7 Days Replacement,"Thursday, 29 September",In stock.,https://www.amazon.in/Blueberry-B-D38-Acoustic-Inbuilt-Sunburst/dp/B08LNP8KGS/ref=sr_1_113?keywords=guitar&qid=1664042210&sr=8-113
131,GIVSON,Givson Crown Standard CRST-N 6-String Cutaway Right Hand Acoustic Guitar with Bag (Natural),"₹6,360.00",7 Days Replacement,September 29 - October 3,Only 1 left in stock.,https://www.amazon.in/Givson-Standard-CRST-N-6-String-Acoustic/dp/B01D9OKD1Y/ref=sr_1_114?keywords=guitar&qid=1664042210&sr=8-114
